Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,100.0,1.468393
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,100.0,1.468393
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,100.0,1.468393
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,100.0,1.468393
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,100.0,1.468393
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,106.262006,1.468064
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,106.262006,1.468064
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,106.262006,1.468064
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,106.262006,1.468064
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,106.262006,1.468064
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,112.916138,1.46732
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,112.916138,1.46732
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,112.916138,1.46732
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,112.916138,1.46732
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,112.916138,1.46732
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,119.986953,1.461601
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,119.986953,1.461601
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,119.986953,1.461601
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,119.986953,1.461601
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,119.986953,1.461601
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,127.500543,1.459301
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,127.500543,1.459301
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,127.500543,1.459301
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,127.500543,1.459301
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,127.500543,1.459301
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,135.484634,1.458791
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,135.484634,1.458791
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,135.484634,1.458791
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,135.484634,1.458791
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,135.484634,1.458791
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,143.968689,1.456768
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,143.968689,1.456768
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,143.968689,1.456768
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,143.968689,1.456768
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,143.968689,1.456768
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,152.984017,1.453539
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,152.984017,1.453539
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,152.984017,1.453539
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,152.984017,1.453539
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,152.984017,1.453539
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,162.563884,1.450144
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,162.563884,1.450144
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,162.563884,1.450144
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,162.563884,1.450144
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,162.563884,1.450144
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,172.743644,1.446945
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,172.743644,1.446945
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,240,2.275151515151515,172.743644,1.446945
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,320,1.1668686868686873,172.743644,1.446945
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,400,0.058585858585859185,172.743644,1.446945
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,80,4.4917171717171716,183.56086,1.443725
y = -0.0139x + 5.6,-0.013853535353535352,5.6,3334,160,3.3834343434343435,183.56086,1.443725
